,0
2022-01-31,80.80210939903827
2022-02-28,109.93968113942181
2022-03-31,86.76002895988468
2022-04-30,120.07131361369917
2022-05-31,127.44768022959016
2022-06-30,155.72487193953668
2022-07-31,233.57933014102704
2022-08-31,194.74777455218126
2022-09-30,153.52183805197376
2022-10-31,193.38194303780466
2022-11-30,266.43973098778525
2022-12-31,265.2066575282633
2023-01-31,275.4440095840519
2023-02-28,239.223943570189
2023-03-31,318.235148149247
2023-04-30,329.9364295854782
2023-05-31,326.3176733217944
2023-06-30,374.4243287370363
2023-07-31,379.08376357763444
2023-08-31,413.3503740027805
2023-09-30,443.7900954686268
2023-10-31,467.2714331445511
2023-11-30,377.96652333280707
2023-12-31,326.79180430035575
