Date,Engagement_Rate
2022-01-01,2.2243453636632418
2022-01-02,0.08824358634992457
2022-01-03,0.27182824773654435
2022-01-04,-0.17296862215617048
2022-01-05,1.8654076293246784
2022-01-06,-1.2015386968802826
2022-01-07,2.94481176421648
2022-01-08,0.5387930991048973
2022-01-09,1.7190390960570985
2022-01-10,1.2506296245225899
2022-01-11,3.062107937044974
2022-01-12,-0.36014070949765387
2022-01-13,1.4775827959864927
2022-01-14,1.5159456453315843
2022-01-15,3.1337694423354376
2022-01-16,1.0001087326859692
2022-01-17,2.0275717924495646
2022-01-18,1.4221415820786285
2022-01-19,2.4422137467155927
2022-01-20,3.082815213715822
2022-01-21,1.4993808227870788
2022-01-22,3.8447237098396143
2022-01-23,3.7015907205927956
2022-01-24,3.4024943389018687
2022-01-25,3.9008559492644124
2022-01-26,2.416272140825667
2022-01-27,3.077109774481352
2022-01-28,2.3642305657409315
2022-01-29,3.1321119203739842
2022-01-30,4.030355466738186
2022-01-31,2.9083392482746913
2022-02-01,3.3032464731440228
2022-02-02,3.1128272998804007
2022-02-03,3.054794358501281
2022-02-04,3.328753869163181
2022-02-05,4.0873354010810985
2022-02-06,3.0826896513647224
2022-02-07,4.534415697817092
2022-02-08,6.059802177109871
2022-02-09,5.242044160577335
2022-02-10,4.408164447638384
2022-02-11,3.812371035915164
2022-02-12,4.052841706249162
2022-02-13,6.592454601027746
2022-02-14,5.050807754776029
2022-02-15,4.463004353430646
2022-02-16,5.390915484667466
2022-02-17,7.400255136478842
2022-02-18,5.52015895248163
2022-02-19,6.117203109707419
2022-02-20,5.900170319955827
2022-02-21,5.347750153506482
2022-02-22,4.65748180197786
2022-02-23,5.550657277587123
2022-02-24,5.791105766625222
2022-02-25,6.686623191182197
2022-02-26,7.038983413874505
2022-02-27,7.231102081303558
2022-02-28,6.685587325254259
2022-03-01,7.385141164270728
2022-03-02,5.845602059003347
2022-03-03,7.952868155233288
2022-03-04,7.312929820418009
2022-03-05,6.601907164897285
2022-03-06,7.488518146537497
2022-03-07,7.024428286978944
2022-03-08,8.331629387451427
2022-03-09,8.819816816422199
2022-03-10,9.585575406533161
2022-03-11,6.103503664511862
2022-03-12,6.15588619457041
2022-03-13,7.195534137053549
2022-03-14,7.96003706944783
